title,link,text,is_fake
Жителей ДНР призывают оставить квартиры военным и переехать в Оренбургскую область,https://lapsha.media/feiky/zhitelej-dnr-prizyvajut-ostavit-kvartiry-voennym-i-pereehat-v-orenburgskuju-oblast/,"В соцсетях и мессенджерах распространяется дипфейк с губернатором Оренбургской области Евгением Солнцевым, который якобы призывает жителей ДНР оставить свои квартиры военным и переехать в Оренбуржье за лучшими условиями. Однако видео — подделка. Фейковый ролик создан на основе видеообращения Солнцева об успешном рабочем визите в Республику Беларусь от 24 августа 2023 года. Тема видео — сотрудничество с другой страной, а не призыв к переезду.",1
Жителей ДНР приглашают переехать в Красноярский край и Иркутскую область,https://lapsha.media/feiky/dnr-pereezd-krasnojarsk-irkutsk/,"В Сети появились обращения глав Красноярского края и Иркутской области, где они приглашают жителей ДНР переехать в их регионы. Якобы существует правительственная программа по переселению новых регионов, которой «надо пользоваться». В действительности программы по переселению жителей ДНР не существует, а ролики первых лиц — дипфейки, которые определила система «Зефир»*.",1
От московских диагностических работ школьники могут отказаться,https://lapsha.media/feiky/ot-moskovskih-diagnosticheskih-rabot-shkolniki-mogut-otkazatsja/,"Отпроведения диагностической работы, которая помогает оценить знания учеников по разным предметам, можно отказаться. Это право прописано в законе, утверждается в школьных чатах. Так ли это,разбираемся в совместном проектеНИУ ВШЭ и АНО «Диалог Регионы» по проверке достоверности информации в рамках фактчекинговой платформы «Лапша Медиа». От проведения МЦКО можно отказаться на основании закона, утверждается в школьных чатах. «МЦКО не обязательно, был ответ по каждой школе от центра МЦКО, МЦКО — это эксперимент, добровольно, и каждый родитель был обязан написать свое согласие на него или отказ (учителя промолчали). Кто из родителей умный, написали отказ со ссылками на законы, и вуаля: их дети ничего не писали и ничего не должны», — отмечается в постах в соцсетях.",1
Фейки,https://lapsha.media/feiky/page/593/,,1
В России хотят запретить песни Михаила Круга,https://lapsha.media/feiky/v-rossii-hotjat-zapretit-pesni-mihaila-kruga/,В России по предложению Госдумы якобы собираются запретить песни Михаила Круга. Все из-за ненормативной лексики и нарушения традиционных ценностей. ,1
Фейки,https://lapsha.media/feiky/page/1/,,1
На всех дорогах России планируется ввести платный проезд,https://lapsha.media/feiky/na-vseh-dorogah-rossii-planiruetsja-vvesti-platnyj-proezd/,"В соцсетях распространяют новость, якобы Минтранс планирует ввести платный проезд на всех дорогах России к 2030 году. ",1
Глава Херсонской области погиб после удара по санаторию «Форос» в Крыму,https://lapsha.media/feiky/glava-hersonskoj-oblasti-pogib-posle-udara-po-sanatoriju-foros-v-krymu/,В проукраинских каналах пишут о гибели губернатора Херсонской области Владимира Сальдо в результате удара ВСУ по санаторию «Форос» в Крыму вечером 21 сентября. ,1
Роспотребнадзор отговаривает делать прививки от гриппа из-за нового штамма коронавируса,https://lapsha.media/feiky/rospotrebnadzor-otgovarivaet-delat-privivki-ot-grippa-iz-za-novogo-shtamma-koronavirusa/,"В чатах и мессенджерах пишут о новой горячей линии Роспотребнадзора, на которой россиян отговаривают от вакцинации от гриппа. Якобы новый штамм COVID-19 «Стратус» особо опасен для людей с антителами от сезонных болезней. ",1
Фейки,https://lapsha.media/feiky/,,1
Фейки,https://lapsha.media/feiky/page/3/,,1
Мелания Трамп — внучка княжны Анастасии Романовой,https://lapsha.media/feiky/melanija-tramp-vnuchka-knjazhny-anastasii-romanovoj/,"На волне последних контактов между Россией и США, в Рунете всплыла конспирологическая теория о том, что супруга Дональда Трампа Мелания – прямая родственница Николая II и наследница императорского престола России. ",1
Госслужащих Ульяновской и Ивановской областей обязали отчитаться о родственниках за границей,https://lapsha.media/feiky/gossluzhashhih-uljanovskoj-i-ivanovskoj-oblastej-objazali-otchitatsja-o-rodstvennikah-za-granicej/,"Госслужащим теперь якобы нужно отчитываться за своих родственников за рубежом: писать о характере общения, переводах за границу. Подобные документы якобы уже вышли за подписью глав Ульяновской и Ивановской областей. ",1
Фейки,https://lapsha.media/feiky/page/4/,,1
В Ярославле разрушен нефтеперерабатывающий завод из-за атаки БПЛА,https://lapsha.media/feiky/v-jaroslavle-razrushen-neftepererabatyvajushhij-zavod-iz-za-ataki-bpla/,"В «предложки» каналов рассылают дипфейк губернатора Ярославской области Михаила Евраева, в котором он якобы сообщает о серьезных разрушениях Ярославского нефтеперерабатывающего завода из-за атак беспилотников ВСУ. Это не так. В ночь с 21 на 22 сентября Ярославль действительно был атакован тремя беспилотниками ВСУ. Однако они были сбиты и не привели к разрушениям каких-либо инфраструктур.",1
У вулкана Семячик на Камчатке зафиксировали волну в 62 см,https://lapsha.media/feiky/kamchatka-vulkan-tsunami/,"На Камчатке якобы зафиксировали волну 62 см у вулкана Семячик. Об этом пишут в Сети со ссылкой на заявление врио министра по ЧС региона Сергея Лебедева, есть угроза цунами. ",1
Более 47 тысяч семей отправят из ДНР на Дальний Восток,https://lapsha.media/feiky/dnr-pereselenie-dalnij-vostok/,В мессенджерах распространилось постановление о переселении более 47 тысяч семей из ДНР в Забайкалье и Сахалинскую область. Якобы из-за неблагоприятных условий для жизни правительство регионов Дальневосточного округа утверждает программу помощи «Наш дом — Россия». ,1
Фейки,https://lapsha.media/feiky/page/5/,,1
Серия атак на школы Краснодарского края началась со стрельбы в Ейске,https://lapsha.media/feiky/jejsl-shkola-strelba/,"В соцстеях пугают стрельбой, которая якобы произошла с одной из школ Ейска Краснодарского края, планируются нападения на другие учреждения. Посты с угрозами тиражируют в специальном канале с роликами, якобы снятыми с мест происшествий. ",1
В Госдуме предложили отключать интернет на неделю,https://lapsha.media/feiky/gosduma-otkljuchenie-internet/,"В Госдуме для улучшения самочувствия предложили отключать интернет на неделю. Якобы это спасет и здоровье, и нервы, и деньги. Отключения хотят вводить поэтапно: сначала на день, потом на два и так до семи, «чтобы привыкли». ",1
В России примут закон «об одном телефоне на человека» из-за мессенджера MAX,https://lapsha.media/feiky/messenger-max/,"Россиянам запретят иметь два смартфона из-за того, что мессенджер MAX якобы устанавливается на запасной гаджет, а не на основной, пишут в телеграм-каналах. Утверждается, что инициативу о запрете на второй гаджет скоро рассмотрят в Госдуме. ",1
Фейки,https://lapsha.media/feiky/page/2/,,1
В Алтайском крае орудует маньяк,https://lapsha.media/feiky/altaj-maniak/,"В мессенджерах жительниц Алтайского края предупреждают не выходить в темное время суток на улицу. Утверждается, что в Бийске, Алферово и других муниципалитетах орудует маньяк, нападающий на девушек. Уже есть несколько жертв. ",1
В Смоленске запретят пить воду из-за дезинфекции городских сетей,https://lapsha.media/feiky/smolensk-oblast-zapret-pit-vody/,"Жители Смоленска якобы останутся без питьевой воды из-за дезинфекции городских сетей. В неофициальных тг-каналах пишут, что во время хлорирования воды 19 сентября ее можно будет использовать только в технических целях. ",1
Россиян обяжут отдавать 1% от чека в ресторанах на поддержку СВО,https://lapsha.media/feiky/plata-svo-za-restorany/,В Сети расходится новость о новой инициативе от Госдумы — россиян якобы обяжут отдавать 1% от чека в ресторане или кафе. Сумма пойдет на поддержку участников СВО. ,1
В РПЦ разрешили мужчинам целовать друг друга в губы,https://lapsha.media/feiky/pocelui-muzhchin/,"В Сети завирусилось якобы заявление Русской православной церкви о том, что верующим одного пола не запрещено целовать друг друга в щеки, плечи или губы. ",1
Фейки,https://lapsha.media/feiky/page/6/,,1
«Газпром нефтехим Салават» приостановил работу из-за атаки БПЛА,https://lapsha.media/feiky/gazprom-neftehim-salavat-priostanovil-rabotu-iz-za-ataki-bpla/,"Крупнейший нефтехимический комплекс России «Газпром нефтехим Салават» в Башкирии якобы приостановил работу из-за критических повреждений, вызванных атакой БПЛА. Об этом говорится в поддельном видео с мэром Салавата Маратом Загидуллиным. Но это не так. «Газпром нефтехим Салават» продолжает работать в штатном режиме, о «критических» последствиях не заявляли. Ролик с главой Салавата оказался дипфейком, за основу подделки взято его интервью от 28 июля.",1
Chery уходит из России,https://lapsha.media/feiky/chery-ukhod-rynok-rf/,В Сети появилась информация об уходе автомобильного бренда Chery из России. Якобы компания хочет избежать санкций и выйти на биржу Гонконга. ,1
