title,link,text,is_fake
В российском городе перевернулась машина скорой помощи,https://lenta.ru/news/2025/09/14/v-rossiyskom-gorode-perevernulas-mashina-skoroy-pomoschi/,"В столице произошло серьезное ДТП с участием автомобиля скорой помощи. На Кутузовском проспекте карету скорой подрезал легковой автомобиль, после чего машина перевернулась. Пострадали трое: водитель, фельдшер и 73-летняя пациентка, которую везли в больницу. Об этомсообщаетTelegram-канал «112».
На место происшествия оперативно прибыли экстренные службы. Для эвакуации пострадавших задействовали вертолет санавиации, который приземлился на проезжую часть проспекта.
Известно, что пожилая женщина уже находилась в тяжелом состоянии — ее перевозили в больницу с переломом шейки бедра. В результате аварии она получила еще одну травму — перелом плеча. Пострадавшую экстренно доставляют в медицинское учреждение для оказания помощи.
Ранее вМосквепроизошлоДТП на Садовом кольце: нетрезвый водитель на скорости протаранил несколько автомобилей и врезался в ограждение. Мужчина пытался уйти от сотрудниковДПС, но потерял управление.",0
Президент Польши согласился на ввод в страну войск НАТО,https://lenta.ru/news/2025/09/14/prezident-polshi-soglasilsya-vvesti-voyska-stran-chlenov-nato/,"ПрезидентПольшиподписал резолюцию о согласии на пребывание в стране войск государств — членовСевероатлантического альянса(НАТО). Об этомсообщилоБюро национальной безопасности Польши.
«Президент Республики ПольшаКароль Навроцкийподписал постановление о предоставлении согласия на пребывание на территории Республики Польша компонента иностранных войск государств-членов Организации Североатлантического договора», — говорится в сообщении.
По информации ведомства, они будут присутствовать в качестве подкрепления войск Польши в рамках операции Eastern Sentry (Восточный часовой).
Ранее руководство НАТОзаявилоо проведении операции «Восточный часовой». Целью операции назвали «дальнейшее укрепление позиций на восточном фланге». Эта миссия, по словам руководства альянса, стала ответом на инцидент с дронами в Польше.",0
Президент Польши согласился на ввод в страну войск НАТО,https://lenta.ru/news/2025/09/14/prezident-polshi-soglasilsya-vvesti-voyska-stran-chlenov-nato/,"ПрезидентПольшиподписал резолюцию о согласии на пребывание в стране войск государств — членовСевероатлантического альянса(НАТО). Об этомсообщилоБюро национальной безопасности Польши.
«Президент Республики ПольшаКароль Навроцкийподписал постановление о предоставлении согласия на пребывание на территории Республики Польша компонента иностранных войск государств-членов Организации Североатлантического договора», — говорится в сообщении.
По информации ведомства, они будут присутствовать в качестве подкрепления войск Польши в рамках операции Eastern Sentry (Восточный часовой).
Ранее руководство НАТОзаявилоо проведении операции «Восточный часовой». Целью операции назвали «дальнейшее укрепление позиций на восточном фланге». Эта миссия, по словам руководства альянса, стала ответом на инцидент с дронами в Польше.",0
Студент РУДН получил срок за финансирование ИГ,https://lenta.ru/news/2025/09/14/student-rudn-poluchil-srok-za-finansirovanie-ig/,"2-й Западный окружной военный суд признал студента второго курсаРоссийского университета дружбы народовимениПатриса Лумумбы(РУДН) Арби Дукаева виновным в финансировании«Исламского государства»(ИГ, ИГИЛ — запрещенная на территории России террористическая организация). Об этом сообщаетТАССсо ссылкой на одного из участников судебного процесса.
«Военный суд признал Дукаева Арби Умаровича, гражданина Российской Федерации, виновным в финансировании терроризма. (...) Подсудимый полностью признал свою вину и раскаялся в содеянном», — рассказал собеседник агентства.
Как сообщается, студент был признан виновным в совершении преступления по части 1 статьи 205.1 Уголовного кодексаРФ. Суд приговорил Дукаева к восьми годам заключения, из них первые три года он проведет в тюрьме, а остальные — в колонии строгого режима.
Ранее Южный окружной военный судвынесприговор жителюКарачаево-ЧеркесииАхамату Джанибекову, готовившему теракт в здании республиканского управленияФСБ. Суд установил, что с 2021 по 2022 годы Джанибеков публиковал видеоролики с призывами к террористической деятельности, а затем связался с боевиком ИГ.",0
Россияне открыли на Мальдивах дайвинг-отель для инвалидов,https://lenta.ru/news/2025/09/14/rossiyane-otkryli-na-maldivah-dayving-otel-dlya-invalidov/,"Московская пара Ирина и ее муж, более 15 лет живущие у океана, создали на Мальдивах уникальный проект. Они перестроили свой отель так, чтобы красоту подводного мира могли увидеть даже люди с ограниченными возможностями. Для этого убрали ступени, расширили проходы, оборудовали номера и туалеты под нужды колясочников. Об этомсообщаетTelegram-канал Mash.
Особое внимание уделяют каждому гостю. Например, для туриста без рук и ног сделали специальный костюм с «крыльями», который позволяет грести и чувствовать себя свободнее под водой. Владельцы признаются, что стараются адаптировать снаряжение и программу погружений под возможности каждого отдыхающего.
Среди постояльцев есть и постоянные гости. Так, француз Стефан, передвигающийся в коляске, каждое лето возвращается в отель, чтобы снова погрузиться и увидеть тигровых акул.
Ранее российская туристкаподелиласьвпечатлениями от отдыха в Приморском крае. Она отметила, что местные пляжи по красоте не уступают зарубежным курортам, сравнив их сТурциейи Мальдивами.",0
Женщина похудела на 88 килограммов из-за сгоревшего дома и покойной сестры,https://lenta.ru/news/2025/09/14/zhenschina-pohudela-na-88-kilogrammov-iz-za-sgorevshego-doma-i-pokoynoy-sestry/,"ЖительницаВеликобританиипо имени Шэрон Питкетли пересмотрела отношение к жизни после трагических событий и похудела на 88 килограммов. Об этом онарассказалаPA Real Life.
По словам Питкетли, в 2015 году она достигла своего максимального веса — 170,7 килограмма. Она пыталась сбросить лишний вес, но постоянно срывалась, мучилась от депрессии и переедания. Все изменилось в сентябре того же года. В том месяце почти весь ее дом сгорел из-за случайности. Боясь погрязнуть в негативных эмоциях, женщина сосредоточилась на своем здоровье и за восемь лет похудела на 46 килограммов.
Тем не менее, периодически Питкетли продолжала нарушать диету, пока в 2023 году не потеряла сестру. Женщина всегда обещала ей заботиться о своем здоровье и снова начала активно сбрасывать вес, чтобы почтить память родственницы. Она вступила в группу худеющих и вскоре сбросила еще 42 килограмма благодаря плаванию и особому рациону питания.
Сейчас женщина продолжает правильно питаться, а также ходит в тренажерный зал и бассейн. Она призналась, что в новом весе почувствовала себя другим человеком и стала гораздо увереннее. «Я сделала это для нее... И я знаю, что она будет гордиться мной», — сказала Питкетли о покойной сестре.
Ранеесообщалось, что жительница Великобритании, которая весила 121 килограмм, сумела похудеть вдвое после того, как застряла в свадебном платье во время примерки. Британка отказалась от фастфуда, начала считать калории и записалась в спортзал.",0
В МИД рассказали о неготовности Украины вести переговоры 24/7,https://lenta.ru/news/2025/09/14/v-mid-rasskazali-o-gotovnosti-ukrainy-vesti-peregovory-24-7/,"Украинане готова вести переговоры в формате 24/7. Об этом в интервьюТАССзаявил посол по особым поручениямМИД РФРодион Мирошник.
«На сегодняшний день Украина и не готова к реальному ведению переговоров, которые должны были бы стартовать и вестись в режиме 24/7», — рассказывает дипломат.
Он отмечает, чтоКиевтакже не готов к переговорам в закрытом режиме. Мирошник указал, что такого формата контакты помогли бы выработать наиболее приемлемую модель дальнейшего мирного урегулирования.
Стремления к выработке такой модели у Украины не наблюдается, заключает дипломат.
Ранее Родион Мирошниксообщил, что Украина намерена «беспределить» даже по отношению к некоторым странамЕвропейского союза. Прежде всего к тем, кто выражает альтернативную позицию по урегулированию конфликта на Украине.",0
Актер из сериалов «Тайны следствия» и «Морские дьяволы» умер в 56 лет,https://lenta.ru/news/2025/09/14/akter-iz-serialov-tayny-sledstviya-i-morskie-dyavoly-umer-v-56-let/,"Российского актера театра и киноДмитрия Лагачеване стало на 57 году жизни. О его кончинесообщилаколлега — актриса Кристина Шаманиди-Бойцова на своей странице в социальной сети «ВКонтакте».
Согласно сообщению, артиста не стало в субботу, 13 сентября. Причину ухода Лагачева из жизни его коллега по цеху не раскрыла.
«Один из светлейших людей в моей жизни... В каждом его слове, жесте, взгляде — все было наполнено любовью и добром», — написала Шаманиди-Бойцова. Артистка назвала Лагачева интеллигентнейшим человеком, невероятным педагогом, замечательным артистом и настоящим товарищем.
Лагачев родился 28 ноября 1968 года. Окончил Ленинградский государственный институт театра, музыки и кинематографии (ЛГИТМиК). Служил в труппе Театра Юного Зрителя имени Брянцева. Артист известен зрителям по ролям в сериалах «Тайны следствия», «Морские дьяволы», «Столыпин... Невыученные уроки». Также он профессионально занимался дубляжем.
Ранеесообщалось, что заслуженной артистки РСФСРАгнессы Петерсонне стало на 90-м году жизни. В Государственном академическом театре имени Евгения Вахтангова сообщили, что актриса ушла после продолжительной болезни.",0
Журова высказалась о возвращении российских спортсменов,https://lenta.ru/news/2025/09/14/zhurova-vyskazalas-o-vozvraschenii-rossiyskih-sportsmenov/,"Первый заместитель председателякомитета Госдумы по международным делам, олимпийская чемпионка по конькобежному спортуСветлана Журовавысказалась о возвращении российских спортсменов. Ее слова приводитРИА Новости.
«У нас есть союзники в международном спорте, но их голосов недостаточно. Курс Международного олимпийского комитета (МОК) поменяется тогда, когда нас примут обратно. Россия выполнила все предписания, которые предъявлял МОК. Теперь следующий шаг за исполкомом», — заявила она.
Журова отметила, что при новой главе МОК Кристи Ковентри пока нет больших изменений в отношении к российским спортсменам. «Ее высказывания звучат более оптимистично, но надо, чтобы весь исполком проголосовал», — добавила она.
4 сентября о возвращении россиян на международные турнирывысказалсяминистр спорта и глава Олимпийского комитета России (ОКР)Михаил Дегтярев. По его словам, МОК должен восстановить ОКР в правах.
С конца февраля 2022 года большинство российских спортсменов отстранено от международных турниров по рекомендации МОК. Часть из них впоследствии была допущена до соревнований в нейтральном статусе.",0
Россияне застряли в аэропорту после ЧП с самолетом египетских авиалиний,https://lenta.ru/news/2025/09/14/rossiyane-zastryali-v-aeroportu-posle-chp-s-samoletom-egipetskih-avialiniy/,"ВоВнуковозадержаны несколько рейсов египетской авиакомпании Nesma Airlines, а часть россиян не может вылететь изЕгиптапосле инцидента с возгоранием двигателя. По данным Telegram-канала Shot, всеначалосьс рейса NE-603, который экстренно посадили, а пассажиры отправились в путь другим самолетом лишь через сутки.
После происшествия сбилось расписание: во Внуково отменены и перенесены рейсы вХургадуи Шарм-эль-Шейх. Так, NE-605, который должен был вылететь 14 сентября в 03:05, перенесли 8:00 15 сентября. В Египте также застряли пассажиры рейса из Хургады вМоскву, его перенос составил почти сутки.
Пассажиры жалуются, что представителей авиакомпании в аэропортах нет, звонки и сообщения остаются без ответа. В результате люди теряют дни отпуска и вынуждены тратить собственные деньги на еду и капсульные отели.
Ранее в московском аэропорту Внуково у самолета Nesma Airlines при взлетезагорелсядвигатель. Экипажу удалось благополучно посадить лайнер на одном работающем двигателе, пассажиров вывели в терминал, а вылет в Хургаду состоялся позднее на резервном борту.",0
Стало известно о тяжелых встречных боях в Сумской области,https://lenta.ru/news/2025/09/14/stalo-izvestno-o-tyazhelyh-vstrechnyh-boyah-v-sumskoy-oblasti/,"В Сумской области идут тяжелые встречные бои между Российской армией иВооруженными силамиУкраины(ВСУ). Об этом сообщил связанный с группировкой войск «Север»ВС РоссииTelegram-канал «Северный ветер».
«Российская авиация, расчеты ударных БПЛА и артиллерия группировки ""Север"" интенсивно работают по всему участку фронта в Сумской области, где продолжаются тяжелые встречные бои», — подчеркивается в сообщении.
Как сообщается, ВСУ перебрасывают новые резервы из тыловых районов, а также не прошедших подготовку в полном объеме мобилизованных из учебных центров. Отмечается сопротивление 47-й отдельной механизированной и 92-й отдельной десантно-штурмовой бригад ВСУ южнее Юнаковки.
Ранее военный экспертАндрей Марочкозаявило взятии ВС России новых позиций к востоку от Юнаковки. По его словам, российские войска заняли новые позиции, несмотря на контратаки украинской армии.",0
Алиев описал последние события в Азербайджане словом «победа»,https://lenta.ru/news/2025/09/14/aliev-opisal-poslednie-sobytiya-slovom-pobeda/,"События последних пяти лет являются историей победы дляАзербайджана. Об этом заявил президент республикиИльхам Алиев, передает агентство APA в своемTelegram-канале.
«История последних пяти лет показала, что никакая внешняя сила не смогла повлиять на нашу волю», — заявил президент Азербайджана. Эту фразу он сказал во время визита в населенные пункты, контроль над которымиБакуустановил после завершения конфликтов в 2020 и 2023 годах.
Алиев также объявил, что Азербайджан «доказал всему миру свою силу», одержав победу на поле боя. Он также заявил, что Баку всегда был готов к миру, который основан на справедливости и международном праве.
27 августа Ильхам Алиевсказал, что Азербайджан не несет ответственности за ухудшение отношений с Россией после декабря 2024 года. По его словам, Баку «никогда не потерпит проявлений агрессии или неуважения».",0
В Госдуме заявили о новой попытке вмешательства Запада в выборы,https://lenta.ru/news/2025/09/14/v-gosdume-zayavili-o-novoy-popytke-vmeshatelstva-zapada-v-vybory/,"Спецслужбы стран Запада пытаются вмешаться в выборы в регионах России и спровоцировать протесты. Об этом заявил председатель комиссииГосдумыпо расследованию фактов вмешательства иностранных государств во внутренние дела РоссииВасилий Пискарев, передаетТАСС.
«Комиссией установлено, что спецслужбы противника усиленно собирают данные о ситуации в регионах нашей страны, чтобы пытаться разжечь протесты», — подчеркнул политик.
Пискарев указал на регулярные консультации с представителями российской несистемной оппозиции вЕвропейском парламенте. Политик также назвал проявлением вмешательства в выборы заявлениеЕвропейского союзао выборах вСевастополе.
Роскомнадзорзафиксировалв воскресенье, 14 сентября, 99 DDoS-атак на ресурсыЦИК, ДИТМосквыи систему дистанционного электронного голосования. Общая продолжительность DDoS-атак составила 3 часа 40 минут.",0
«Русская община» и ОМОН сорвали вечеринку в ночном клубе областного центра,https://lenta.ru/news/2025/09/14/russkaya-obschina-i-omon-sorvali-vecherinku-v-nochnom-klube-odnogo-oblastnogo-tsentra/,"ВМурманскеОтряд мобильный особого назначения (ОМОН) и «Русская община» сорвали вечеринку в одном из ночных клубов города. Об этом пишетTelegram-канал «Осторожно новости» со ссылкой на организаторов вечеринки Kraevsky Party.
По их словам, 13 сентября на их мероприятие пришли силовики с представителями «Русской общины». Они грозили арестами, заблокировали выходы, остановив музыку в заведении.
Организаторы утверждают, что силовики пришли по наводке организаторов соседней вечеринки. Сами же они опровергают эту информацию. Позже организатор Kraevsky Party удалил из своего канала посты о рейде силовиков, отказываясь давать комменатрии, подчеркивает издание.
Ранее депутатМосковской городской думыАндрей Медведевзаявил, что российские чиновники недовольны и раздражены деятельностью «Русской общины».",0
В РПЦ прокомментировали допустимость мастурбации,https://lenta.ru/news/2025/09/14/v-rpts-prokommentirovali-dopustimost-masturbatsii/,"СвященникИгорь Сильченковв своем YouTube-каналепрокомментировалмнение врачей о том, что некоторые болезни могут быть связаны с отсутствием интимной жизни.
По словам священника, такие утверждения не доказаны серьезными исследованиями и чаще являются домыслами. В пример он привел монашество, где мужчины десятилетиями живут в воздержании, но при этом не страдают «мужскими болезнями».
Сильченков подчеркнул, что мастурбация для здоровья или удовольствия является грехом. Однако он допустил ее в редких случаях — например, при необходимости сдать анализы или в рамках судебной экспертизы, если человеку грозит срок по делу об изнасиловании. При этом, отметил священник, это возможно только «без страсти» и исключительно с благословения духовника.
Ранее вРПЦнапомнили, что интимная жизнь в браке — не грех, а «дорога в рай». Иеромонах Макарий из Иваново-Вознесенской епархии подчеркнул, что супружеский секс имеет «райское происхождение» и укрепляет семью, принося супругам радость и гармонию.",0
В российском регионе природный пожар подобрался к жилым домам,https://lenta.ru/news/2025/09/14/rostov-pozhar/,"В Ростовской области бушуют лесные пожары. Возгорание возникло из-за пала сухостоя, передает местный портал161.ru.
Пожар разгорелся на северной окраине села Кулешовка. Из-за сильного ветра он вскоре подобрался к жилым домам. В частности, огонь перекинулся на баню по улице Береговой. Из-за сильного задымления в регионе пришлось перекрыть участок с 1-го по 17-й километр трассы Ростов — Азов. В результате в обе стороны дороги образовалась пробка длиною почти четыре километра.
К четырем часам дня пожарные локализовали пламя, его площадь, как сообщаетпресс-службаобластного управления МЧС, составила 1,5 тысячи квадратных метров. В тушении пожара задействовано 40 человек и 15 единиц техники. Как уточняется, угрозы для населения нет.
В конце августа после падения обломков беспилотниказагорелсялес у села Криница. Пламенем оказаласьокруженагруппа туристов из 23 человек — они отдыхали на нудистском пляже. Их эвакуировали. Площадь лесного пожарадостигла39 гектаров. В начале сентября ситуация повторилась. Возгораниевозниклов районе населенного пункта Пшада. Его удалось оперативно потушить, площадь воспламенения составила 0,03 гектара.",0
В России прокомментировали возмущение Польши из-за речи Небензи об инциденте с БПЛА,https://lenta.ru/news/2025/09/14/vozmuschenie-polshi/,"Поляки ожидали громких заявлений и принятия каких-то действий в отношении России после инцидента с беспилотниками над территориейПольши, однако этого не последовало, отметил первый заместитель председателякомитета Госдумы по международным деламАлексей Чепа. Так в разговоре с «Лентой.ру» депутат прокомментировал возмущениеВаршавыиз-за речи постоянного представителя России приООНВасилия Небензи на заседанииСовета Безопасности ООН.
«Я думаю, что те провокаторы, которые организовывали эти действия, рассчитывали на более широкий резонанс. Однако многие понимают бессмысленность этих действий. Поэтому отнеслись весьма скептически. Это бесит поляков», — заметил Чепа.
Ранее стало известно, что речь Небензи на заседании Совета Безопасности ООН по инциденту с беспилотным летательным аппаратом (БПЛА) на территории Польшивозмутилапредставителей Варшавы. Отмечается, что польские политики не смогли ответить на аргументы, вместо этого осыпалиМосквуоскорблениями.
В ночь на 10 сентября стало известно, что дроны пересекли границу Польши. По словам премьер-министра страны Дональда Туска, всегобыло обнаружено19 беспилотников. Не приведя доказательств, Варшава обвинила в произошедшем Москву.",0
