title,link,text,is_fake
"Археологи нашли в Помпеях тела двух мужчин, врезавшихся в столб на античном самокате во время извержения Везувия",https://panorama.pub/news/pogibli-vrezavsis-v,"Археологи сообщили, что при исследовании тел двух мужчин, раскопанных в Помпеях два года назад, наконец смогли установить причины их смерти – это вовсе не извержение Везувия, а авария. Пара пыталась сбежать от приближающегося потока лавы на античном самокате, но не справилась с управлением и врезалась в фонарный столб.Останки содержат следы множественных переломов, характерных для столкновения с твёрдым предметом. Рядом с телами нашли фрагмент металлической рамы самоката, отпечаток его колёсного диска и отдельные компоненты мотор-колеса, стакан для античного латте и обломки каменного столба. Анализ направления движения самоката и расположения тел позволил реконструировать их последние минуты жизни.«Причиной аварии, по всей видимости, стало превышение скоростного режима в сочетании с неправильной эксплуатацией (ездой вдвоём) и экстремальными погодными условиями», – рассказали исследователи.",1
"В Краснодарском крае тестируют корову, дающую пальмовое масло",https://panorama.pub/news/v-krasnodarskom-krae-testiruut-korovu,"В ходе реализации всероссийской программы импортозамещения аграрии Краснодарского края представили корову, способную давать натуральное пальмовое масло непосредственно на молочной ферме.Бурёнка содержится на особой диете: корова питается растительными маслами, маргарином, трансжирами, добавками с индексом Е и молочной продукцией кубанского комбината. Это позволяет ей производить продукт, необходимый для кондитерской промышленности.«Сейчас мы ищем генетически модифицированного быка-осеменителя, чтобы создать потомство», – пояснил ведущий генетик предприятия Ефим Лысенков.В идеале зоотехники хотят за ближайшие несколько лет создать стадо пальмомасловых коров. Также генетики считают, что путём экспериментов можно добиться, чтобы животные давали готовый маргарин и даже творог.Разработчики проекта уверены, что уже к 2027 году каждый житель края сможет приобрести кубанское пальмовое масло с гарантированным сертификатом «От чистого вымени — чистому столу». Для поддержания национального колорита на упаковке появится изображение коровы — в платочке, с улыбкой и QR-кодом.",1
"Сечень, травень, липень: лингвисты предложили вернуть месяцам старославянские названия",https://panorama.pub/news/secen-traven-lipen-lingvisty-predlozili,"Коллектив Института русского языка имени Виктора Виноградова завершил работу над реформой по импортозамещению иностранных слов. На первом этапе лингвисты предложили избавиться от навязанного извне римского календаря путём возврата к старославянским названиям месяцев.«Сечень, травень, липень – поражаешься насколько близки к пониманию жизни и природы были наши предки, в отличие от римлян, прославлявших своих богов и руководителей, что было чуждо славянам», – заявил научный сотрудник отдела истории русского литературного языка Василий Куйбеда.Так, начиная с 2026-го, год у россиян будет начинаться с просинца (бывший январь), затем наступит сечень (февраль), весна начнётся с зимобора (март), продолжится цветнем (апрель) и завершится травнем (май), первым летнем месяцем станет изок (июнь), затем липень (июль), а венчает лето серпень (август), осень начнётся с вересня (сентябрь), продолжится листопадником (октябрь), а завершится груднем (ноябрь), первым зимним и последним месяцем в году станет студень (декабрь).Количество дней как в месяцах, так и в году лингвисты менять не планируют, этот вопрос передан на откуп механико-математическому факультету МГУ.",1
Бояре поспорили о необходимости поднимать Фёдора Конюхова со дна Марианской впадины,https://panorama.pub/news/boare-sporat-o-neobhodimosti-podnimat,"В царских палатах Кремля в присутствии Государя собрался люд на заседание Высшего боярского совета, дабы обсудить неприятное известие – уже третью неделю не подаёт сигналов со дна Марианского жёлоба боярин Конюхов – величайший русский пилигрим, естествоиспытатель и расточитель государственной казны.Государь решил послушать высоких людей и принять решение относительно целесообразности извлечения боярина Конюхова с океанических глубин, куда он отправился с патриотическо-просветительской миссией и за жалованье.Одни бояре считают, что на столь глубокой отметке Конюхов наконец нашёл свой истинный вектор духовного развития, другие опасаются, что спасательная операция может не только нарушить мировую экосистему, но и погубить ведущих специалистов Царьспаса.«Да я уже в трактире «Империал» поминальную трапезу заказал. Уже и оплатили её бояре Сечинов и Ротенбергов, а боярин Миллеров даже ногомячиста в Бразилию продал ради банкета. И оркестр уже собрался», – заявил граф Ерофеев.И вот, когда уже публика сняла головные уборы, чтобы почтить память великого русского мужа, в зал буквально ворвался сам виновник обсуждения. Тут же граф Ерофеев торжественно крикнул «Виват! Слава русской науке!», а остальные поддержали его почин. Каждый присутствовавший обнялся с боярином Конюховым. Тот рассказал, что ему не мешало затворничество на дне, за это время он нашёл в кармане дирижабль, надул его и добрался аж до Кремля. Закончив повествование, боярин отправился отдыхать и готовиться к новой экспедиции в жерло вулкана.",1
В Великом Новгороде археологи обнаружили второй том «Повести временных лет»,https://panorama.pub/news/v-velikom-novgorode-arheologi-obnaruzili,"Коллектив археологов из Новгородского государственного университета и специалисты Института археологии РАН в ходе плановых раскопок на территории Ярославова Дворища в Великом Новгороде обнаружили хорошо сохранившиеся пергаментные свитки, предварительно датированные началом XII века.Как сообщил старший научный сотрудник экспедиции профессор Арсений Тишковец, документ был найден в слое, относящемся к домонгольскому периоду, в каменном ларце, защищённом от влаги и кислорода. Благодаря этому текст остался в исключительной сохранности. Палеографический и лингвистический анализ однозначно указывает на то, что документ был создан в 1121 году и является подлинной работой епископа Сильвестра – автора одной из редакций «Повести временных лет». Однако содержание документа оказалось не исторической хроникой, а пророческим текстом, описывающим события вплоть до середины XXI века.«Мы были удивлены содержанию свитков, – заявил профессор Тишковец. – Текст написан на древнерусском изводе церковнославянского языка, стилистика и почерк полностью соответствуют известным образцам работ Сильвестра. Однако его содержание не имеет аналогов в древнерусской литературе. Летопись содержит детальные описания правления Ивана IV Грозного, реформ Петра I, Великой Отечественной войны и эпохи И.В. Сталина. Далее в тексте идёт речь о событиях будущего: объединении России, КНДР, Украины и Белоруссии в новый политический социалистический союз к 2035 году, и последующей ядерной катастрофе в связи с конфликтом СССР и НАТО в 2056 году, которая приведёт к гибели человеческой цивилизации».",1
Учёные: общая теория относительности разработана Александром III во время рыбной ловли,https://panorama.pub/news/ucenye-obsaa-teoria-otnositelnosti-razrabotana,"Новые архивные исследования свидетельствуют о том, что автор общей теории относительности – не Альберт Эйнштейн, а российский император Александр III. Об этом заявили сотрудники Института истории РАН, основываясь на недавно обнаруженных документах.Согласно представленным материалам, ключевые идеи, лежащие в основе теории гравитации, были сформулированы Александром III во время уединенной рыбалки на одном из островов Финского залива в 1888 году. Вдохновением послужил момент, когда император, наблюдая за движением поплавка на воде, осознал взаимосвязь между массой, пространством и временем.Свои мысли Александр III изложил в серии писем к своему другу и советнику, профессору математики Чебышеву, который, к сожалению, не оценил новаторский характер этих идей и счёл их «плодом царской меланхолии». Дальнейшее распространение теории было заблокировано обер-прокурором Святейшего Синода Константином Победоносцевым, усмотревшим в ней «опасное вольнодумство, подрывающее основы православной веры».«К сожалению, политическая конъюнктура и невежество царских чиновников помешали императору опубликовать свои открытия, и слава первооткрывателя досталась другому. Но теперь историческая справедливость восторжествовала, и мы можем с гордостью заявить, что общая теория относительности – это русское изобретение», – заявил директор Института истории РАН, академик Юрий Волков.",1
"В рукописи словаря Даля обнаружены слова «влогер» и «блокчейн», исключённые по распоряжению Бенкендорфа",https://panorama.pub/news/v-rukopisi-slovara-dala-obnaruzeny,"В Санкт-Петербургском архиве Российской академии наук при изучении рукописных материалов «Толкового словаря живого великорусского языка» Владимира Ивановича Даля обнаружены ранее неизвестные словарные статьи, содержащие лексемы «влогер» и «блокчейн». Термины отсутствуют в итоговом печатном издании словаря, вышедшем в свет в 1860-х годах.Согласно архивным документам, решение об исключении указанных слов было принято лично шефом жандармов и главным начальником III отделения Собственной Его Императорского Величества канцелярии, графом Александром Христофоровичем Бенкендорфом, курировавшим в то время цензуру в Российской империи.В сохранившейся резолюции Бенкендорфа отмечается, что новообразования представляются ему «крайне сомнительными с точки зрения благонамеренности и соответствия духу русского народа» и могут «посеять смуту в умах отроков». Предполагается, что Даль, будучи человеком широких взглядов, предвидел появление таких явлений задолго до их реального возникновения.«Тот факт, что Бенкендорф, будучи человеком своего времени, не смог оценить гениальность Даля, лишь подтверждает необходимость бережного отношения к культурному наследию и недопустимость идеологического давления на творческую интеллигенцию», – заявил директор Института русской литературы (Пушкинский дом) РАН Валентин Смирнов.",1
"В Египте обнаружена глиняная табличка с требованием Моисея об эмиграции в страну, которая не воюет с соседями",https://panorama.pub/news/v-egipte-obnaruzena-glinanaa-tablicka,"В ходе археологических раскопок в районе древнего города Фивы египетскими учёными обнаружена клинописная глиняная табличка, датируемая XIII веком до нашей эры, содержащая текст, предположительно написанный Моисеем, адресованный фараону Мернептаху. В тексте содержится требование отпустить еврейский народ из египетского рабства с целью переселения в «землю, где нет войн с соседями».Согласно расшифровке текста, выполненной ведущими египтологами, Моисей мотивирует свою просьбу стремлением к мирной и спокойной жизни для своего народа, уставшего от постоянных войн и конфликтов, в которые был вовлечён Египет. В частности, упоминается желание найти «место, где пастухи не дерутся из-за колодцев, а земледельцы не спорят о границах полей».Ученые отмечают, что находка ставит под сомнение традиционную трактовку исхода евреев из Египта как исключительно религиозного события, указывая на наличие у Моисея пацифистских убеждений. Эксперты также предполагают, что такая табличка может быть древнейшей в истории заявкой на политическое убежище.«Мы всегда считали Моисея воином и освободителем, но теперь мы видим в нем еще и сторонника мира и ненасилия. К сожалению, нам пока неизвестно, на какую именно территорию он планировал перевезти евреев, но мы можем предположить, что это было какое-то неизвестное идиллическое государство, расположенное где-то очень далеко от Египта», – заявил министр древностей Египта Халед Эль-Энани.",1
В Институте физиологии РАН умерла собака Павлова,https://panorama.pub/news/v-institute-fiziologii-ran-umerla,"Легендарная собака Павлова погибла из-за отключения электроэнергии в Институте физиологии РАН. Как сообщила сотрудница лаборатории нейрофизиологии высших животных, животное перестало выделять желудочный сок и вскоре скончалось.«Уже в 1937 году не осталось никого, кто помнил, как звали эту собаку, но выработка желудочного сока в ответ на зажжённую лампу стала обязательным условием её существования. Отключение электричества из-за неуплаты институтом погубило собаку. Рыночек порешал», — рассказала доктор наук, пожелавшая остаться неизвестной.Собака Павлова была не только подопытным животным, но и близким другом выдающегося русского физиолога Ивана Павлова, нобелевского лауреата по физиологии и медицине (1904 год) за исследования механизмов пищеварения.Прощание с собакой пройдёт в здании СПбГУ у памятника лабораторной кошке. Следственный комитет уже начал проверку по факту отключения электроэнергии в институте. Ведомство намерено выяснить, можно ли было предотвратить трагедию.",1
Станислав Дробышевский публично отрёкся от дарвинизма перед комиссией РПЦ,https://panorama.pub/news/stanislav-drobysevskij-publicno-otreksa-ot,"Известный антрополог Станислав Дробышевский публично отказался от своих экстремистских дарвинистских убеждений в присутствии ответственных секретарей комиссии РПЦ по вопросам вероучения. Отречение последовало за продолжительным допросом с применением акафиста и катехизиса.Допрос, продолжавшийся изнурительные 30 часов, как сообщается, включал в себя обширную экзегезу Книги Бытия и применение передовых методов психологического убеждения, усовершенствованных во время печально известных «судов над еретиками» XVI века. Источники в РПЦ предполагают, что Дробышевский первоначально сопротивлялся попыткам комиссии «исправить его эволюционную траекторию», но в конце концов сдался после того, как к нему была применена третья степень экзорцзма. В рамках своего публичного покаяния Дробышевский был снят на видео, читающим Никейский символ веры, – это был момент, который церковные чиновники назвали «триумфом истинной веры над греховным «научным любопытством».«Это знаменательный день для российской науки и русской души. Мы успешно вернули заблудшую овцу из пустыни материализма. Станислав Владимирович отпущен с Богом под подписку об обязательной уплате церковной десятины», – заявил митрополит Варфоломей.",1
